time,temp
08.12.2022 15:00,2.1
07.12.2022 15:00,-5.1
06.12.2022 15:00,-1.3
05.12.2022 15:00,-2.3
04.12.2022 15:00,-5.0
03.12.2022 15:00,-0.8
02.12.2022 15:00,2.2
01.12.2022 15:00,3.1
30.11.2022 15:00,2.2
29.11.2022 15:00,1.5
28.11.2022 15:00,1.9
27.11.2022 15:00,4.4
26.11.2022 15:00,4.6
25.11.2022 15:00,6.5
24.11.2022 15:00,7.7
23.11.2022 15:00,8.6
22.11.2022 15:00,10.6
21.11.2022 15:00,14.5
20.11.2022 15:00,5.6
19.11.2022 15:00,9.9
18.11.2022 15:00,5.4
17.11.2022 15:00,7.7
16.11.2022 15:00,5.1
15.11.2022 15:00,4.7
14.11.2022 15:00,10.4
13.11.2022 15:00,8.3
12.11.2022 15:00,7.4
11.11.2022 15:00,8.0
10.11.2022 15:00,8.5
09.11.2022 15:00,9.0
08.11.2022 15:00,5.0
07.11.2022 15:00,6.8
06.11.2022 15:00,3.3
05.11.2022 15:00,10.7
04.11.2022 15:00,7.9
03.11.2022 15:00,10.0
02.11.2022 15:00,9.0
01.11.2022 15:00,9.9
31.10.2022 15:00,8.7
30.10.2022 15:00,12.1
29.10.2022 15:00,9.5
28.10.2022 15:00,11.9
27.10.2022 15:00,13.1
26.10.2022 15:00,11.5
25.10.2022 15:00,11.3
24.10.2022 15:00,11.7
23.10.2022 15:00,12.0
22.10.2022 15:00,11.3
21.10.2022 15:00,8.6
20.10.2022 15:00,13.3
19.10.2022 15:00,16.5
18.10.2022 15:00,14.3
17.10.2022 15:00,16.2
16.10.2022 15:00,13.0
15.10.2022 15:00,13.6
14.10.2022 15:00,15.0
13.10.2022 15:00,16.4
12.10.2022 15:00,16.0
11.10.2022 15:00,11.3
10.10.2022 15:00,16.4
09.10.2022 15:00,18.0
08.10.2022 15:00,19.5
07.10.2022 15:00,18.8
06.10.2022 15:00,16.7
05.10.2022 15:00,17.1
04.10.2022 15:00,16.8
03.10.2022 15:00,17.7
02.10.2022 15:00,23.3
01.10.2022 15:00,23.6
30.09.2022 15:00,22.5
29.09.2022 15:00,19.7
28.09.2022 15:00,17.0
27.09.2022 15:00,21.0
26.09.2022 15:00,18.4
25.09.2022 15:00,16.7
24.09.2022 15:00,15.7
23.09.2022 15:00,13.5
22.09.2022 15:00,20.0
21.09.2022 15:00,19.8
20.09.2022 15:00,21.4
19.09.2022 15:00,20.3
18.09.2022 15:00,26.7
17.09.2022 15:00,22.6
16.09.2022 15:00,22.4
15.09.2022 15:00,19.8
14.09.2022 15:00,16.0
13.09.2022 15:00,19.8
12.09.2022 15:00,21.2
11.09.2022 15:00,23.1
10.09.2022 15:00,21.7
09.09.2022 15:00,21.7
08.09.2022 15:00,20.9
07.09.2022 15:00,17.7
06.09.2022 15:00,18.9
05.09.2022 15:00,18.8
04.09.2022 15:00,21.2
03.09.2022 15:00,26.0
02.09.2022 15:00,27.1
01.09.2022 15:00,30.3
31.08.2022 15:00,32.5
30.08.2022 15:00,30.4
29.08.2022 15:00,26.9
28.08.2022 15:00,31.9
27.08.2022 15:00,30.6
26.08.2022 15:00,29.3
25.08.2022 15:00,31.5
24.08.2022 15:00,31.1
23.08.2022 15:00,32.2
22.08.2022 15:00,31.8
21.08.2022 15:00,29.3
20.08.2022 15:00,24.0
19.08.2022 15:00,27.8
18.08.2022 15:00,30.1
17.08.2022 15:00,29.1
16.08.2022 15:00,24.4
15.08.2022 15:00,34.6
14.08.2022 15:00,34.6
13.08.2022 15:00,32.6
12.08.2022 15:00,24.5
11.08.2022 15:00,32.9
10.08.2022 15:00,34.5
09.08.2022 15:00,32.7
08.08.2022 15:00,34.7
07.08.2022 15:00,33.9
06.08.2022 15:00,33.2
05.08.2022 15:00,28.0
04.08.2022 15:00,30.1
03.08.2022 15:00,27.9
02.08.2022 15:00,25.6
01.08.2022 15:00,34.8
31.07.2022 15:00,33.4
30.07.2022 15:00,33.1
28.07.2022 15:00,30.0
27.07.2022 15:00,27.4
26.07.2022 15:00,27.0
25.07.2022 15:00,25.8
24.07.2022 15:00,27.1
23.07.2022 15:00,19.0
22.07.2022 15:00,18.6
21.07.2022 15:00,23.3
20.07.2022 15:00,28.2
19.07.2022 15:00,27.1
18.07.2022 15:00,28.7
17.07.2022 15:00,29.3
16.07.2022 15:00,30.8
15.07.2022 15:00,27.4
14.07.2022 15:00,24.6
13.07.2022 15:00,29.8
12.07.2022 15:00,28.7
11.07.2022 15:00,25.4
10.07.2022 15:00,32.7
09.07.2022 15:00,34.8
08.07.2022 15:00,31.3
07.07.2022 15:00,31.9
06.07.2022 15:00,31.7
05.07.2022 15:00,31.3
04.07.2022 15:00,28.3
03.07.2022 15:00,25.2
02.07.2022 15:00,26.5
01.07.2022 15:00,28.1
30.06.2022 15:00,26.3
29.06.2022 15:00,30.5
28.06.2022 15:00,27.5
27.06.2022 15:00,22.7
26.06.2022 15:00,25.7
25.06.2022 15:00,21.0
24.06.2022 15:00,22.9
23.06.2022 15:00,21.2
22.06.2022 15:00,25.8
21.06.2022 15:00,30.2
20.06.2022 15:00,30.7
19.06.2022 15:00,29.0
18.06.2022 15:00,28.5
17.06.2022 15:00,27.2
16.06.2022 15:00,26.8
15.06.2022 15:00,22.0
14.06.2022 15:00,28.1
13.06.2022 15:00,31.6
12.06.2022 15:00,32.2
11.06.2022 15:00,31.2
10.06.2022 15:00,30.7
09.06.2022 15:00,28.8
08.06.2022 15:00,27.5
07.06.2022 15:00,26.9
06.06.2022 15:00,25.9
05.06.2022 15:00,29.2
04.06.2022 15:00,32.5
03.06.2022 15:00,31.1
02.06.2022 15:00,30.7
01.06.2022 15:00,27.4
31.05.2022 15:00,29.4
30.05.2022 15:00,27.6
29.05.2022 15:00,25.1
28.05.2022 15:00,22.1
27.05.2022 15:00,19.2
26.05.2022 15:00,20.0
25.05.2022 15:00,20.2
24.05.2022 15:00,18.2
23.05.2022 15:00,16.8
22.05.2022 15:00,15.4
21.05.2022 15:00,17.7
20.05.2022 15:00,21.7
19.05.2022 15:00,11.2
18.05.2022 15:00,14.5
17.05.2022 15:00,21.0
16.05.2022 15:00,21.4
15.05.2022 15:00,19.5
14.05.2022 15:00,14.2
13.05.2022 15:00,17.0
12.05.2022 15:00,18.2
11.05.2022 15:00,15.8
10.05.2022 15:00,16.0
09.05.2022 15:00,18.2
08.05.2022 15:00,18.8
07.05.2022 15:00,18.1
06.05.2022 15:00,15.0
05.05.2022 15:00,14.8
04.05.2022 15:00,16.9
03.05.2022 15:00,15.1
02.05.2022 15:00,17.0
01.05.2022 15:00,18.1
30.04.2022 15:00,20.1
29.04.2022 15:00,21.5
28.04.2022 15:00,21.5
27.04.2022 15:00,20.8
26.04.2022 15:00,23.3
25.04.2022 15:00,19.5
24.04.2022 15:00,19.3
23.04.2022 15:00,14.7
22.04.2022 15:00,10.6
21.04.2022 15:00,13.0
20.04.2022 15:00,11.5
19.04.2022 15:00,10.8
18.04.2022 15:00,19.3
17.04.2022 15:00,14.6
16.04.2022 15:00,13.5
15.04.2022 15:00,13.0
14.04.2022 15:00,9.3
13.04.2022 15:00,5.8
12.04.2022 15:00,8.5
11.04.2022 15:00,21.8
10.04.2022 15:00,21.2
09.04.2022 15:00,11.0
08.04.2022 15:00,13.6
07.04.2022 15:00,18.9
06.04.2022 15:00,10.2
05.04.2022 15:00,8.6
04.04.2022 15:00,7.1
03.04.2022 15:00,13.4
